                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.86287,                  1.518,                0.74169,                 1.0757,                0.61558,                0.47594,                0.50539,                 0.3294,                0.52904,                0.46049,                0.45093,                 0.2888,                  1.314,                 2.7346,                 1.5802,                 1.6123,              0.0088615,              0.0088615,              0.0088615
                     26,                0.84767,                 1.5056,                0.75317,                 1.0659,                  0.866,                0.84259,                0.89595,                0.67952,                 0.8604,                0.82213,                0.87048,                0.62228,                0.89921,                 1.5012,                0.78643,                 1.1278,               0.008812,               0.008812,               0.008812
                     27,                0.85861,                 1.4742,                0.73393,                 1.0647,                0.87364,                0.80926,                0.89116,                0.68349,                0.86851,                0.80042,                0.87608,                 0.6272,                0.87377,                 1.4385,                 0.7462,                 1.1136,              0.0087625,              0.0087625,              0.0087625
                     28,                  0.838,                 1.4209,                0.70699,                 1.0486,                0.72928,                0.62531,                0.68103,                0.47079,                0.67427,                0.56707,                0.60644,                0.39967,                 1.1214,                 2.4711,                 1.2813,                 1.3367,               0.008713,               0.008713,               0.008713
                     29,                0.84945,                 1.4139,                 0.7088,                 1.0638,                0.83164,                0.82646,                0.88149,                0.67253,                0.83544,                0.81501,                0.86966,                0.62312,                 0.8887,                 1.5118,                0.75327,                 1.1161,              0.0086635,              0.0086635,              0.0086635
                     30,                0.83829,                  1.443,                0.70117,                 1.0558,                0.79616,                 0.7684,                0.83092,                0.62215,                0.77551,                0.74384,                0.79528,                0.53875,                0.94727,                 1.7678,                0.89793,                 1.1734,               0.008614,               0.008614,               0.008614
                     31,                0.84852,                 1.4078,                0.71229,                 1.0615,                 0.8733,                0.82789,                0.89424,                0.68182,                0.87119,                0.82306,                0.88346,                0.63251,                0.88739,                  1.408,                0.72086,                 1.1205,              0.0085645,              0.0085645,              0.0085645
                     32,                 0.8519,                 1.4724,                0.71444,                  1.054,                0.84758,                0.79156,                0.87643,                0.65794,                0.84011,                0.78362,                0.86245,                0.59753,                0.93848,                 1.5747,                 0.8283,                 1.1574,               0.008515,               0.008515,               0.008515
                     33,                 0.8313,                 1.4148,                0.69819,                 1.0492,                0.85771,                0.84847,                0.90352,                0.68975,                0.84578,                0.83741,                0.88799,                0.63271,                0.88023,                 1.4428,                0.71075,                 1.1011,              0.0084655,              0.0084655,              0.0084655
                     34,                0.85088,                 1.4646,                0.71353,                 1.0545,                0.87327,                0.83893,                0.89959,                 0.6854,                0.85484,                0.83637,                0.88184,                0.63099,                0.86033,                 1.4161,                0.73706,                 1.1009,               0.008416,               0.008416,               0.008416
                     35,                0.82176,                 1.3814,                0.70169,                 1.0487,                 0.8744,                0.84804,                0.90924,                0.70902,                0.86306,                0.83966,                0.89185,                0.64626,                 0.8375,                 1.3987,                0.70593,                 1.0896,              0.0083665,              0.0083665,              0.0083665
                     36,                 0.8271,                 1.4386,                0.69054,                 1.0421,                0.85974,                0.84221,                0.89071,                0.67456,                 0.8503,                0.82131,                0.86618,                0.60656,                0.90074,                 1.4896,                0.74881,                 1.1237,               0.008317,               0.008317,               0.008317
