                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1775,                 1.8821,                0.89959,                 1.0798,                0.73624,                0.70161,                0.72415,                0.42602,                0.69827,                0.65117,                0.66394,                0.33171,                 1.2952,                 2.4255,                 1.0663,                 1.1942,               0.008548,               0.008548,               0.008548
                     25,                 1.1759,                 1.8885,                0.92498,                  1.084,                0.79445,                0.79101,                 0.8062,                0.48737,                0.76163,                0.76742,                0.76605,                0.39653,                 1.2343,                 1.8978,                0.88685,                 1.1402,               0.008482,               0.008482,               0.008482
                     26,                 1.1755,                 1.8756,                0.88788,                  1.077,                0.78381,                0.78221,                0.79641,                0.48644,                0.76231,                0.75052,                0.76072,                0.40465,                 1.2168,                 1.8761,                0.89576,                 1.1563,               0.008416,               0.008416,               0.008416
                     27,                  1.173,                 1.8823,                0.89236,                 1.0781,                0.77466,                0.79588,                0.80847,                0.49378,                0.74129,                0.76606,                0.76441,                0.40272,                 1.2123,                 1.8993,                0.88571,                 1.1378,                0.00835,                0.00835,                0.00835
                     28,                 1.1639,                 1.8801,                0.87557,                 1.0782,                0.73554,                0.75172,                0.74535,                 0.4482,                0.70229,                0.71056,                0.69694,                0.35934,                 1.2518,                 2.1969,                  1.119,                 1.1675,               0.008284,               0.008284,               0.008284
                     29,                  1.171,                    1.9,                0.88745,                 1.0749,                0.76292,                0.78983,                0.79344,                0.47845,                0.73223,                0.77141,                0.76463,                0.40373,                 1.2346,                 1.9442,                0.89792,                 1.1501,               0.008218,               0.008218,               0.008218
                     30,                 1.1546,                 1.8336,                0.90738,                  1.078,                0.75321,                0.72287,                0.74558,                 0.4453,                0.73012,                0.67955,                0.69664,                0.35223,                 1.2623,                 2.2215,                 1.0205,                  1.175,               0.008152,               0.008152,               0.008152
                     31,                 1.1443,                 1.8556,                0.87248,                 1.0793,                0.66779,                0.51358,                0.54431,                0.31124,                0.60481,                0.47139,                0.47322,                 0.2221,                 1.5092,                 3.3757,                 1.6704,                 1.3677,               0.008086,               0.008086,               0.008086
                     32,                 1.1396,                 1.8189,                0.86338,                 1.0642,                0.73762,                0.71041,                0.72502,                0.43243,                0.69998,                0.67386,                0.67306,                0.34198,                 1.2917,                 2.4485,                 1.0669,                 1.2042,                0.00802,                0.00802,                0.00802
                     33,                 1.1426,                 1.8452,                0.87692,                 1.0748,                0.78101,                0.78201,                0.79399,                0.48036,                0.74263,                0.74287,                0.74158,                0.37828,                 1.2205,                 2.0421,                0.92311,                 1.1425,               0.007954,               0.007954,               0.007954
                     34,                 1.1351,                 1.8377,                0.86699,                 1.0668,                0.78622,                0.80447,                0.81348,                 0.4991,                0.76229,                0.77324,                0.77564,                  0.409,                   1.19,                 1.9041,                0.84808,                 1.1294,               0.007888,               0.007888,               0.007888
                     35,                 1.1271,                 1.7956,                0.84488,                 1.0536,                0.74232,                0.75787,                0.76108,                0.45551,                0.71365,                0.72458,                0.71823,                0.37547,                 1.2491,                 2.0571,                0.95848,                 1.1523,               0.007822,               0.007822,               0.007822
                     36,                 1.1317,                  1.807,                0.86372,                 1.0605,                0.77922,                0.75572,                0.77897,                0.47079,                 0.7567,                0.72448,                 0.7378,                0.38746,                  1.215,                 2.0691,                0.92198,                 1.1492,               0.007756,               0.007756,               0.007756
                     37,                 1.1237,                 1.8097,                0.85544,                 1.0649,                0.77917,                0.77744,                0.79676,                0.48877,                0.74686,                0.74843,                0.75378,                0.39738,                 1.2127,                 1.9743,                 0.8857,                 1.1409,                0.00769,                0.00769,                0.00769
                     38,                 1.1283,                 1.8077,                0.84956,                 1.0672,                0.77124,                0.76853,                0.77714,                 0.4726,                0.72609,                0.72878,                0.71613,                0.36923,                 1.2219,                 2.2091,                0.93169,                 1.1514,               0.007624,               0.007624,               0.007624
                     39,                 1.1173,                 1.8002,                0.84304,                 1.0509,                0.69148,                0.66053,                0.67273,                0.40255,                0.65492,                0.61869,                 0.6097,                0.30245,                 1.2712,                 2.5226,                 1.2076,                 1.1902,               0.007558,               0.007558,               0.007558
                     40,                   1.11,                 1.7809,                0.83238,                  1.053,                0.79007,                0.77716,                0.80856,                0.49962,                0.76685,                0.74267,                0.76923,                0.41875,                  1.203,                 1.9256,                0.86458,                 1.1326,               0.007492,               0.007492,               0.007492
                     41,                 1.1227,                 1.7746,                0.84484,                 1.0612,                0.78385,                0.78997,                0.79756,                0.47865,                0.76352,                 0.7731,                0.77163,                0.40886,                 1.2376,                 1.9234,                0.87825,                 1.1513,               0.007426,               0.007426,               0.007426
                     42,                 1.0925,                 1.8513,                0.85544,                  1.054,                0.70083,                0.65882,                0.67778,                0.39421,                0.65683,                0.60969,                0.61146,                0.29765,                 1.3566,                 2.5735,                  1.201,                 1.2218,                0.00736,                0.00736,                0.00736
                     43,                  1.107,                 1.7782,                0.83099,                 1.0544,                   0.78,                0.78842,                0.80346,                0.49437,                0.76873,                0.75688,                0.76932,                0.40145,                 1.1931,                 1.9325,                0.86619,                 1.1274,               0.007294,               0.007294,               0.007294
                     44,                 1.1145,                 1.7974,                0.82766,                 1.0606,                0.77546,                0.80734,                0.81073,                0.50064,                0.76251,                0.77538,                0.77465,                 0.4173,                 1.1901,                 1.8635,                0.88527,                 1.1309,               0.007228,               0.007228,               0.007228
                     45,                 1.1024,                  1.777,                0.82649,                  1.051,                 0.7047,                0.67689,                 0.6913,                0.41115,                0.66615,                0.63547,                0.63276,                0.31957,                 1.3194,                 2.4565,                 1.1768,                 1.2296,               0.007162,               0.007162,               0.007162
