                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.77061,                 1.4857,                0.72531,                 1.1007,                0.83555,                0.80258,                0.86584,                0.60936,                0.84766,                0.80859,                0.86869,                0.56655,                0.89748,                  1.445,                0.72482,                 1.1829,              0.0005644,              0.0005644,              0.0005644
                     24,                0.75761,                 1.4642,                0.70489,                 1.1016,                0.84054,                0.79542,                 0.8634,                0.61836,                0.85173,                0.80447,                0.87024,                0.57332,                0.89883,                 1.4234,                0.72162,                 1.1898,              0.0005446,              0.0005446,              0.0005446
                     25,                0.76122,                 1.4346,                0.70184,                 1.0962,                0.82487,                0.80104,                 0.8583,                0.60494,                0.83875,                0.81301,                0.85932,                0.55895,                0.91445,                  1.465,                0.73133,                 1.1894,              0.0005248,              0.0005248,              0.0005248
                     26,                0.75289,                 1.4529,                0.70884,                  1.096,                0.84915,                0.81964,                0.86435,                 0.6121,                0.85907,                0.82876,                0.87165,                0.57171,                0.90266,                 1.4144,                0.72272,                 1.1725,               0.000505,               0.000505,               0.000505
                     27,                0.75311,                 1.4607,                0.69239,                 1.0881,                0.80826,                 0.8145,                0.84926,                0.60584,                0.83807,                0.80976,                0.85731,                0.55965,                0.90562,                  1.479,                0.73339,                 1.1876,              0.0004852,              0.0004852,              0.0004852
                     28,                0.76352,                 1.4172,                0.69235,                 1.0996,                0.82132,                0.82194,                0.86154,                0.61115,                0.82718,                0.82914,                0.86317,                0.56661,                0.87886,                 1.4219,                0.71012,                 1.1684,              0.0004654,              0.0004654,              0.0004654
                     29,                0.74392,                 1.4286,                0.69317,                 1.0939,                0.84071,                 0.8226,                0.87247,                0.62536,                0.84252,                0.82688,                0.87434,                0.57729,                0.89269,                 1.4558,                0.69437,                  1.178,              0.0004456,              0.0004456,              0.0004456
                     30,                0.74915,                 1.3821,                0.68663,                 1.0983,                0.80897,                0.80982,                0.86051,                0.61433,                0.84742,                0.78795,                0.86298,                0.57063,                0.88759,                 1.4359,                0.71635,                 1.1866,              0.0004258,              0.0004258,              0.0004258
                     31,                0.71717,                 1.3442,                0.64613,                 1.0658,                0.86527,                0.81155,                0.87242,                0.61999,                0.85952,                0.82098,                0.87535,                0.58113,                0.88258,                 1.4172,                0.68039,                 1.1685,               0.000406,               0.000406,               0.000406
                     32,                0.72781,                 1.3756,                0.64356,                 1.0778,                0.85837,                 0.8168,                0.87752,                 0.6251,                0.86075,                0.82012,                0.87279,                0.58287,                 0.8807,                 1.4029,                 0.6823,                 1.1667,              0.0003862,              0.0003862,              0.0003862
                     33,                0.72591,                  1.371,                 0.6565,                   1.08,                0.83227,                0.80981,                0.87248,                0.62146,                 0.8383,                0.81162,                0.86717,                0.57929,                0.87926,                 1.4237,                 0.6833,                 1.1747,              0.0003664,              0.0003664,              0.0003664
                     34,                0.72676,                 1.3971,                0.64751,                 1.0744,                0.83469,                0.82327,                0.87731,                0.62318,                 0.8492,                0.81747,                0.87656,                0.57631,                 0.9012,                 1.4536,                 0.6745,                 1.1906,              0.0003466,              0.0003466,              0.0003466
                     35,                 0.7331,                 1.3768,                0.63892,                  1.077,                0.87545,                0.79514,                0.87952,                0.63024,                0.88412,                 0.8043,                0.87994,                0.58574,                0.89482,                 1.4166,                0.66573,                 1.1782,              0.0003268,              0.0003268,              0.0003268
                     36,                0.71553,                 1.3655,                0.62644,                  1.065,                0.82956,                0.80798,                0.86553,                0.61559,                0.84136,                0.81332,                0.86941,                0.57131,                0.89673,                 1.4356,                0.69595,                 1.1935,               0.000307,               0.000307,               0.000307
                     37,                0.72451,                 1.3474,                0.62612,                 1.0765,                0.86975,                0.80595,                0.87892,                0.63316,                0.85209,                0.83704,                0.88397,                0.58625,                 0.8679,                 1.4042,                0.66769,                 1.1633,              0.0002872,              0.0002872,              0.0002872
                     38,                0.71584,                 1.3543,                0.64639,                  1.072,                0.83212,                0.82249,                0.87643,                0.62697,                0.83929,                0.82679,                 0.8711,                  0.582,                0.88471,                 1.3987,                0.67028,                 1.1734,              0.0002674,              0.0002674,              0.0002674
                     39,                0.71937,                 1.3472,                0.63771,                  1.069,                0.85856,                0.81775,                0.87551,                0.62294,                0.86856,                0.82352,                0.87231,                0.58316,                 0.8874,                  1.391,                0.66784,                 1.1744,              0.0002476,              0.0002476,              0.0002476
                     40,                0.72349,                 1.3855,                0.64376,                 1.0828,                0.84557,                0.82981,                0.87743,                0.62942,                0.87923,                0.81548,                0.87856,                0.58495,                0.88707,                 1.3839,                0.65533,                 1.1749,              0.0002278,              0.0002278,              0.0002278
                     41,                0.71838,                 1.3428,                0.62757,                 1.0766,                0.85378,                0.81506,                0.87525,                 0.6259,                0.87385,                0.81707,                0.87725,                0.58397,                0.87989,                 1.3764,                0.66742,                 1.1716,               0.000208,               0.000208,               0.000208
                     42,                0.72298,                 1.3346,                0.64068,                 1.0767,                0.82868,                0.82833,                0.87451,                 0.6242,                0.83902,                0.83361,                0.86961,                0.58245,                0.88167,                 1.3807,                0.66363,                 1.1771,              0.0001882,              0.0001882,              0.0001882
                     43,                0.70527,                 1.3358,                0.61736,                 1.0673,                0.84479,                  0.826,                0.87557,                0.62443,                0.85488,                0.83417,                0.87593,                0.58331,                0.88092,                 1.3781,                0.67745,                 1.1744,              0.0001684,              0.0001684,              0.0001684
                     44,                0.70507,                 1.3437,                0.62713,                 1.0667,                0.84965,                0.83173,                 0.8768,                0.62629,                0.85901,                0.83976,                0.87826,                0.58528,                0.88541,                 1.3923,                0.65895,                 1.1741,              0.0001486,              0.0001486,              0.0001486
                     45,                0.69046,                 1.3006,                0.60171,                 1.0576,                0.84745,                0.81769,                0.87493,                0.62618,                0.85767,                0.82685,                0.87696,                 0.5847,                0.88298,                 1.3871,                0.65917,                 1.1752,              0.0001288,              0.0001288,              0.0001288
                     46,                0.68662,                 1.2651,                0.59344,                 1.0552,                0.84141,                0.81466,                0.87324,                0.62323,                0.85773,                0.82065,                0.87274,                0.58133,                0.88381,                 1.3756,                0.66546,                 1.1746,               0.000109,               0.000109,               0.000109
                     47,                0.71325,                 1.3117,                0.63145,                 1.0751,                0.86985,                0.79442,                0.87373,                0.62255,                0.87509,                 0.8077,                 0.8752,                0.58205,                0.88254,                 1.3688,                0.66223,                 1.1744,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.69515,                 1.2868,                0.60248,                 1.0527,                0.86259,                0.80548,                0.87836,                0.62721,                0.87097,                0.81897,                0.88176,                0.58702,                0.89006,                 1.3751,                0.65754,                 1.1772,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.68915,                 1.2812,                0.60098,                 1.0621,                0.84614,                0.81616,                0.87898,                0.62683,                0.85625,                0.83262,                0.88078,                0.58681,                 0.8832,                 1.3693,                0.65771,                 1.1719,               4.96e-05,               4.96e-05,               4.96e-05
